WARN (translation.language): source/blender/blentranslation/intern/blt_lang.cc:214 BLT_lang_init: Falling back to standard locale ("C")
Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:30:47)
Read blend: "/Users/xiaruonan/nihongo-art-work/desktop-v1/art-source/desktop-v1/yorimichi-shop.blend"
Fra:1 Mem:127.20M (Peak 127.20M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.049
Fra:1 Mem:127.22M (Peak 127.22M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.050
Fra:1 Mem:127.23M (Peak 127.23M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.052
Fra:1 Mem:127.22M (Peak 127.23M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.054
Fra:1 Mem:127.28M (Peak 127.28M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.055
Fra:1 Mem:127.33M (Peak 127.33M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.056
Fra:1 Mem:127.34M (Peak 127.34M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.057
Fra:1 Mem:127.33M (Peak 127.34M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.058
Fra:1 Mem:127.36M (Peak 127.36M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.061
Fra:1 Mem:127.36M (Peak 127.36M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.062
Fra:1 Mem:127.40M (Peak 127.40M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.063
Fra:1 Mem:127.44M (Peak 127.44M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.064
Fra:1 Mem:127.45M (Peak 127.45M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.065
Fra:1 Mem:127.49M (Peak 127.49M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.066
Fra:1 Mem:127.49M (Peak 127.49M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.067
Fra:1 Mem:127.52M (Peak 127.52M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.068
Fra:1 Mem:127.50M (Peak 127.52M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.070
Fra:1 Mem:127.52M (Peak 127.52M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.071
Fra:1 Mem:127.55M (Peak 127.55M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.072
Fra:1 Mem:127.58M (Peak 127.58M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.073
Fra:1 Mem:127.60M (Peak 127.60M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.075
Fra:1 Mem:127.63M (Peak 127.63M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.076
Fra:1 Mem:127.62M (Peak 127.63M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.077
Fra:1 Mem:127.64M (Peak 127.64M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.078
Fra:1 Mem:127.67M (Peak 127.67M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.080
Fra:1 Mem:127.66M (Peak 127.67M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.081
Fra:1 Mem:127.71M (Peak 127.71M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tongue and groove floor.082
